"","","","song_title"
"23","SCETTYB103","Kishor Kumar","Aaj ka ye din,Aaiye Shauk se Kahiye,Aai Khuda Har faisala tera Muze Manjur hai,Aaiye Shauk se Kahiye,Aaj ka ye din,Diye Jalate Hai,Aaiye Shauk se Kahiye,Aaj na chhodenge ,Aai Khuda Har faisala tera Muze Manjur hai,Aaiye Shauk se Kahiye,Aaj ka ye din,AA Dekhe jara ,Aaj Madhosh Hua Jaye re,Diye Jalate Hai,AA Dekhe jara ,Aadmi jo kaheta Hai,AA Dekhe jara ,Aaiye Shauk se Kahiye,Aaj na chhodenge ,Aaj ka ye din,Aaiye Shauk se Kahiye,Aai Khuda Har faisala tera Muze Manjur hai,Aaiye Shauk se Kahiye,Aaj Madhosh Hua Jaye re"
"24","SCETTYB103","Labh Jan Jua","Jee Karda,Jee Karda,Jee Karda,Jee Karda"
"25","SCETTYB103","Mohit Chauhan","Ilahi,Jo Bhi Main,Naadaan Parindey,Jo Bhi Main,Tum Ho,Hawa Hawaa,Naadaan Parindey,Tum Ho,Naadaan Parindey,Jo Bhi Main,Jaana Hai,Kuchh Iss Tarah,Jo Bhi Main,Naadaan Parindey,Ilahi,Jo Bhi Main,Naadaan Parindey,Jo Bhi Main,Naadaan Parindey,Tum Ho,Sadda Haq,Naadaan Parindey,Naadaan Parindey,Jaana Hai,Jaana Hai,Haafiz Khuda"
"26","SCETTYB103","Mohmad Rafi","Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Tum Bin Jaoon Kahan,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Tum Bin Jaoon Kahan,Tum Bin Jaoon Kahan,Abhi Na Jao Chhod Kar,Baharo Phool Barsao,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Tum Bin Jaoon Kahan,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Tum Bin Jaoon Kahan,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Tum Bin Jaoon Kahan,Baharo Phool Barsao,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand "
"27","SCETTYB103","Mukesh","Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani"
"28","SCETTYB103","Neha Bhansin","Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum"
"29","SCETTYB103","Shreya Ghoshal","Om Shanti Om,Dil Dooba,Teri Baahon Maein Hum,Koi Pathar Se na Maare,Om Shanti Om,Om Shanti Om,Deewangi Deewangi,Raabta,Dhoom Taana,Deewangi Deewangi,Koi Pathar Se na Maare,Dhoom Taana,Koi Pathar Se na Maare,Om Shanti Om,Saans Me Teri ,Raabta,Dhoom Taana,Deewangi Deewangi,Raabta,Dhoom Taana,Raabta,More Piya,Dola Re Dola,Teri Baahon Maein Hum,Om Shanti Om,Raabta,Deewangi Deewangi,Koi Pathar Se na Maare,Dhoom Taana,Saans Me Teri ,Teri Baahon Maein Hum,Koi Pathar Se na Maare,Dhoom Taana,Om Shanti Om,Raabta,Dil Dooba,Dhoom Taana,Dhoom Taana,Om Shanti Om,Dil Dooba,Teri Baahon Maein Hum,Koi Pathar Se na Maare,Om Shanti Om,Om Shanti Om,Deewangi Deewangi,Raabta,Dhoom Taana,Deewangi Deewangi,Koi Pathar Se na Maare,Dhoom Taana,Koi Pathar Se na Maare,Om Shanti Om,Saans Me Teri ,Raabta,Dhoom Taana,Deewangi Deewangi,Om Shanti Om,Dhoom Taana,Deewangi Deewangi,Saans Me Teri ,Raabta,Dola Re Dola,Raabta,Om Shanti Om,Raabta,Deewangi Deewangi,Om Shanti Om,Om Shanti Om,Wada Raha,Teri Baahon Maein Hum,Dhoom Taana,Koi Pathar Se na Maare,Om Shanti Om"
"30","SCETTYB103","Sonu Nigam","Maria Maria,Sandese Aate Hai ,Maria Maria,Maria Maria,Maria Maria,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai "
"31","SCETTYB103","Vinod Rathod","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
"32","SCETTYB103","Vishal","D Se Dance ,D Se Dance "
