"","","","song_title"
"47","SCETTYB102","Om Shanti Om","Dhoom Taana,Deewangi Deewangi,Om Shanti Om,Deewangi Deewangi,Deewangi Deewangi,Dhoom Taana,Dhoom Taana,Deewangi Deewangi,Om Shanti Om,Deewangi Deewangi,Om Shanti Om,Om Shanti Om,Deewangi Deewangi,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Dhoom Taana,Om Shanti Om,Om Shanti Om,Om Shanti Om,Deewangi Deewangi,Deewangi Deewangi,Om Shanti Om,Deewangi Deewangi,Deewangi Deewangi,Dhoom Taana,Deewangi Deewangi,Om Shanti Om,Deewangi Deewangi,Deewangi Deewangi,Dhoom Taana,Dhoom Taana,Deewangi Deewangi,Om Shanti Om,Deewangi Deewangi,Om Shanti Om,Om Shanti Om,Deewangi Deewangi,Dhoom Taana,Deewangi Deewangi,Deewangi Deewangi,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Om Shanti Om,Deewangi Deewangi,Om Shanti Om,Deewangi Deewangi,Deewangi Deewangi"
"48","SCETTYB102","Partner","Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria"
"49","SCETTYB102","Parvarish","Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye"
"50","SCETTYB102","Rockstar","Hawa Hawaa,Naadaan Parindey,Tum Ho,Hawa Hawaa,Tum Ho,Naadaan Parindey,Phir Se Udd Chala,Jo Bhi Main,Naadaan Parindey,Sadda Haq,Naadaan Parindey,Jo Bhi Main,Naadaan Parindey,Phir Se Udd Chala,Jo Bhi Main,Hawa Hawaa,Naadaan Parindey,Tum Ho,Hawa Hawaa,Tum Ho,Naadaan Parindey,Phir Se Udd Chala,Hawa Hawaa,Tum Ho,Jo Bhi Main,Hawa Hawaa,Sadda Haq"
"51","SCETTYB102","Rocky","AA Dekhe jara ,AA Dekhe jara ,AA Dekhe jara ,AA Dekhe jara ,AA Dekhe jara ,AA Dekhe jara ,AA Dekhe jara "
"52","SCETTYB102","Sharmili","Aaj Madhosh Hua Jaye re"
"53","SCETTYB102","Shree 420","Mera Joota Hai Japani,Mera Joota Hai Japani"
"54","SCETTYB102","Shree 422","Mera Joota Hai Japani"
"55","SCETTYB102","Shree 423","Mera Joota Hai Japani,Mera Joota Hai Japani"
"56","SCETTYB102","Shree 424","Mera Joota Hai Japani"
"57","SCETTYB102","Shree 425","Mera Joota Hai Japani"
"58","SCETTYB102","Singh Is King","Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda"
"59","SCETTYB102","Yeh Jawanni Hai Devani","Ilahi,Ilahi,Ilahi,Ilahi,Ilahi,Ilahi,Ilahi,Ilahi"
"60","SCETTYB103","8*10 Tasveer","Jaana Hai,Kuchh Iss Tarah,Jaana Hai,Jaana Hai,Haafiz Khuda"
"61","SCETTYB103","Aaja Nachle","Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare"
"62","SCETTYB103","Abdullah","Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai"
"63","SCETTYB103","Agent Vinod ","Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta"
"64","SCETTYB103","Border","Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai "
"65","SCETTYB103","Deewana","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
"66","SCETTYB103","Devdas","More Piya,Dola Re Dola,Dola Re Dola"
"67","SCETTYB103","Gunday","Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum"
"68","SCETTYB103","Highway","Maahi,Maahi,Maahi,Maahi,Maahi"
"69","SCETTYB103","Humpty Sharma Ki Dulhniya","D Se Dance ,D Se Dance "
"70","SCETTYB103","Jab Tak Hai Jaan ","Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri "
"71","SCETTYB103","Kati patang","Aaj na chhodenge ,Aaj na chhodenge "
"72","SCETTYB103","Khakee","Dil Dooba,Teri Baahon Maein Hum,Teri Baahon Maein Hum,Teri Baahon Maein Hum,Dil Dooba,Dil Dooba,Teri Baahon Maein Hum,Wada Raha,Teri Baahon Maein Hum"
"73","SCETTYB103","Majboor","Aadmi jo kaheta Hai"
"74","SCETTYB103","Mohmad Rafi","Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Tum Bin Jaoon Kahan,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Tum Bin Jaoon Kahan,Tum Bin Jaoon Kahan,Abhi Na Jao Chhod Kar,Baharo Phool Barsao,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Tum Bin Jaoon Kahan,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Tum Bin Jaoon Kahan,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Tum Bin Jaoon Kahan,Baharo Phool Barsao,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand "
"75","SCETTYB103","Namak Haram","Diye Jalate Hai,Diye Jalate Hai"
"76","SCETTYB103","Nastik","Aaj ka ye din,Aaj ka ye din,Aaj ka ye din,Aaj ka ye din"
